text,count
frozen,138
written,1
by,40
jennifer,1
lee,112
final,4
shooting,2
draft,1
open,29
on,138
ice,100
we,112
re,48
underwater,1
looking,9
up,129
at,81
it,253
a,392
saw,2
cuts,2
through,45
heading,2
right,47
for,78
us,15
ext,38
snow,55
capped,1
mountains,10
dusk,1
harvesters,9
dressed,2
in,217
traditional,1
sami,3
clothing,1
score,1
lake,1
they,91
sing,2
the,887
heart,20
worker,1
s,383
song,1
born,6
of,260
cold,20
and,455
winter,18
air,14
mountain,28
rain,2
combining,2
this,70
icy,7
force,5
both,21
foul,2
fair,3
has,21
worth,3
mining,2
men,12
drag,2
giant,9
blocks,2
channels,1
water,13
cont,207
d,221
cut,33
clear,3
strike,4
love,57
fear,11
see,44
beauty,4
sharp,8
sheer,2
split,2
apart,3
break,4
hup,2
ho,5
watch,7
your,51
step,6
let,44
go,58
young,37
boy,8
kristoff,367
his,149
reindeer,12
calf,1
sven,123
share,2
carrot,12
as,83
try,1
to,495
keep,9
with,98
struggles,8
get,33
block,4
out,137
he,185
fails,1
ends,4
soaked,1
licks,3
wet,1
cheek,2
beautiful,13
powerful,2
dangerous,4
magic,14
can,69
t,158
be,74
controlled,2
floe,1
overtakes,2
workers,2
threateningly,1
fight,5
back,95
stronger,6
than,9
one,43
ten,4
hundred,3
massive,2
fjord,14
horses,2
heavy,4
plows,1
j,111
sun,9
sets,4
lanterns,1
are,65
lit,2
dark,6
finally,10
manage,1
single,1
there,50
danger,5
here,39
beware,1
pile,2
onto,25
horse,20
drawn,2
sled,17
pulls,22
away,44
left,7
behind,30
push,3
their,26
dinky,1
little,21
then,64
head,40
off,65
sweep,3
from,52
them,59
northern,5
lights,10
filling,1
sky,9
move,11
across,11
beneath,4
snowline,1
descend,1
upon,1
kingdom,11
arendelle,39
night,30
humble,1
castle,35
built,4
wood,2
nestled,1
deep,8
int,38
nursery,1
elsa,329
sleeps,1
her,240
bed,5
sister,19
anna,682
pops,3
beside,6
psst,2
doesn,18
stir,1
sits,14
bounces,2
wake,6
grumbling,1
sleep,2
rolls,4
spreads,3
all,70
weight,4
drama,1
queen,37
ish,1
i,354
just,85
awake,5
so,53
m,69
have,54
play,6
yourself,3
shoves,2
lands,15
butt,7
floor,14
sighs,3
defeated,1
but,122
she,202
gets,13
an,40
idea,4
hops,12
lifts,6
eyelids,1
mischievously,1
do,60
you,322
want,20
build,8
snowman,13
eyes,28
pop,2
smiles,13
staircase,3
now,30
wearing,2
boots,9
hand,28
come,32
tries,18
shush,2
too,18
excited,6
ballroom,4
girls,6
sneak,2
into,61
shuts,3
door,49
laughs,6
waves,13
hands,17
together,13
snowflakes,4
suddenly,22
burst,6
forth,1
