text,count
kung,32
fu,32
panda,32
written,1
by,30
jonathan,1
aibel,1
glenn,1
berger,1
final,6
draft,1
june,1
ext,34
valley,19
day,20
a,294
mysterious,1
warrior,67
treks,1
across,13
the,807
rugged,1
landscape,1
narrator,9
v,18
o,28
legend,4
tells,1
of,194
legendary,4
whose,2
skills,1
were,16
stuff,2
his,190
identity,1
hidden,1
beneath,3
flowing,1
robe,1
and,307
wide,7
brimmed,1
hat,3
gnaws,1
on,100
staff,20
bamboo,6
cont,137
d,143
he,245
traveled,1
land,3
in,127
search,1
worthy,4
foes,3
cut,25
to,357
int,27
bar,4
sits,5
at,101
table,5
drinking,1
tea,1
gnawing,1
door,17
blasts,3
open,20
manchu,1
gang,4
rushes,8
surrounds,1
him,92
boss,2
i,251
see,28
you,272
like,26
chew,2
beat,11
maybe,11
should,12
my,43
fist,2
punches,9
said,11
nothing,15
for,60
mouth,13
was,48
full,6
then,53
swallowed,1
swallows,1
spoke,1
dubbed,1
hero,2
voice,2
enough,4
talk,3
let,18
s,219
fight,4
shashabooey,1
wham,1
delivers,5
punch,7
whole,4
goes,10
flying,9
so,27
deadly,2
fact,1
that,91
enemies,1
would,12
go,24
blind,1
from,40
overexposure,1
pure,1
awesomeness,2
members,1
blindly,1
flail,1
about,22
ninja,2
cat,1
eyes,22
gator,1
too,7
awesome,5
onlookers,1
swoon,1
smitten,1
bunny,7
attractive,1
grateful,1
how,27
can,42
we,55
repay,1
there,30
is,171
no,73
charge,1
or,16
attractiveness,1
one,36
hundred,4
assassins,1
appear,1
surround,3
continuous,5
entire,3
swells,1
packed,1
rafters,2
with,54
ninjas,3
kablooey,1
roof,4
explodes,1
cloud,4
erupts,1
into,64
sky,8
tornado,2
spins,3
knocks,5
them,28
all,25
down,43
it,172
mattered,1
not,49
many,1
faced,2
they,36
match,2
bodacity,1
beats,2
up,103
thousand,9
delivering,1
blow,4
while,1
doing,13
split,6
between,6
two,7
trees,3
stands,6
amongst,1
field,4
vanquished,1
as,69
god,1
rays,1
shine,1
upon,4
never,19
before,12
had,10
been,14
feared,2
loved,4
more,16
even,9
most,1
heroic,2
heroes,4
china,4
furious,9
five,67
bowed,1
respect,2
this,56
great,6
master,61
monkey,28
hang,1
out,59
agreed,1
salute,2
turns,28
bandits,2
approaching,1
strike,5
an,25
attack,4
pose,2
brandishes,1
shiny,1
green,3
sword,5
leaps,14
off,38
mountain,9
sea,1
but,82
hanging,3
have,43
wait,22
`Cause,1
when,22
re,41
facing,1
ten,3
demons,1
demon,1
only,12
thing,5
matters,1
mid,6
air,16
strange,1
po,625
get,33
tigress,79
ll,16
be,35
late,2
work,11
whu,1
room,17
lands,13
hard,8
floor,15
tries,15
clear,6
head,22
wake,3
dad,68
filled,3
various,1
posters,1
including,1
poster,3
featuring,1
souvenirs,2
wooden,3
version,1
sighs,7
attempts,6
kick,9
himself,18
feet,10
alas,1
belly,8
foe,1
what,71
are,60
uh,21
hops,2
imitating,4
action,3
figures,3
mantis,40
crane,43
viper,25
rowrrrr,1
outside,4
balcony,1
neighboring,1
house,2
pig,6
watering,1
flowers,1
stares,6
play,2
cool,2
quickly,6
ducks,1
sight,2
coming,6
takes,14
star,4
chucks,1
wall,13
bounces,5
throws,8
again,17
picks,6
heads,2
downstairs,1
trips,2
falls,23
rest,6
way,23
kitchen,8
flat,2
face,26
shaped,1
shadow,4
looms,1
over,25
sorry,14
doesn,6
t,86
make,11
noodles,12
reveal,12
actually,9
caused,1
basket,1
being,4
carried,3
small,2
duck,1
gets,20
which,8
easy,6
since,2
really,9
made,2
size,2
noise,2
oh,30
just,51
crazy,5
dream,11
back,71
huh,8
dreaming,4
eh,1
heh,3
push,3
going,14
admit,1
hides,4
throwing,2
behind,14
thok,1
stops,12
chopping,2
vegetables,2
yeah,28
else,5
