text,count
my,21
mother,27
dreams,2
the,377
satan,14
s,124
disciples,33
in,111
new,23
york,15
fade,6
ext,28
south,3
dakotan,1
farm,4
day,43
a,226
lone,1
farmhouse,3
sits,4
isolated,1
against,8
prairie,1
backdrop,1
silhouetted,2
by,16
marbled,1
dawn,1
sky,5
int,33
marian,246
peterson,2
gray,1
haired,2
woman,11
her,148
late,1
sixties,1
meticulously,1
packs,3
suitcase,4
she,69
picks,3
up,36
small,3
framed,4
photo,6
from,32
chest,1
of,127
drawers,1
and,149
holds,2
it,61
to,177
insert,3
picture,1
man,12
about,19
age,2
he,26
has,11
sweet,1
natured,1
smile,6
on,69
his,31
face,12
looks,13
at,52
longingly,1
then,17
carefully,1
between,1
some,18
sweaters,1
closes,3
paint,1
chipped,1
truck,2
rounds,2
corner,4
dirt,1
road,2
leading,5
into,37
waiting,3
porch,1
ready,2
go,11
rises,3
waves,1
few,13
moments,8
later,18
son,2
steve,2
dressed,2
jeans,5
flannel,1
shirt,1
loads,1
single,4
piece,4
luggage,8
bed,4
climbs,3
back,16
cab,9
where,8
is,56
sitting,9
drives,2
off,17
dissolve,9
jetliner,1
descending,1
hot,2
cerulean,1
kennedy,1
international,1
afternoon,1
looking,20
little,9
forlorn,1
out,36
sorts,1
stands,8
taxi,4
area,2
with,47
tote,3
around,9
for,18
unsure,1
what,20
do,21
curbside,2
minutes,4
mischa,28
somewhat,1
dissolute,1
russian,1
cabbie,4
thirties,2
roughhouses,1
dirty,1
cluttered,1
trunk,3
as,26
opens,4
driver,1
side,4
door,19
slams,2
shut,1
rattling,1
nerves,1
brusquely,1
are,16
you,105
sure,2
got,5
bag,4
think,7
i,85
left,3
curb,4
m,17
sorry,4
nervous,1
first,4
time,9
just,15
minute,2
fumbles,1
paper,1
rooted,1
purse,7
annoyed,4
shift,1
lever,1
drive,3
lurches,1
leans,2
forward,4
rectangular,1
opening,1
plexiglas,1
partition,2
want,8
east,16
th,13
that,34
village,4
daughter,18
said,1
would,7
cost,1
thirty,3
dollars,1
rear,1
view,3
mirror,1
we,24
glimpse,1
giving,2
sly,1
look,7
cut,18
location,1
passes,4
turnpike,1
streaming,1
vehicles,1
headed,2
toward,7
manhattan,6
transition,1
hurtling,1
along,5
cranes,1
head,22
through,9
attempts,1
strike,1
conversation,1
surly,1
came,3
visit,3
youngest,1
have,13
come,11
airport,2
meet,4
me,14
wanted,3
but,13
started,1
job,1
well,15
guess,1
no,12
one,25
here,8
so,17
all,23
yourself,1
uh,4
yes,2
husband,3
passed,1
away,6
recently,1
oh,14
children,1
thought,3
should,5
take,8
trip,2
yeah,7
dakota,2
moscow,1
ohhh,1
know,12
hellhole,1
disconcerted,2
mean,3
dangerous,3
nah,1
not,12
beat,5
during,2
chuckles,2
angle,9
window,18
clouded,1
consternation,1
bridge,1
cars,1
pouring,1
over,22
many,4
bridges,1
spanning,1
river,1
street,50
nd,1
avenue,4
brakes,1
halt,2
bringing,1
frame,4
strickened,1
fear,3
background,4
retrieve,1
taking,2
foreign,1
surroundings,1
seems,4
confused,1
something,5
pardon,1
this,17
approaches,2
can,18
t,45
there,20
roadblock,2
b,1
gestures,3
down,27
right,16
p,6
o,9
v,7
far,2
end,4
block,9
see,10
movable,1
blue,6
nypd,1
two,8
them,22
puzzled,1
way,8
middle,7
pointing,2
uncertainly,1
will,1
be,14
fine,2
still,6
himself,1
doesn,6
get,12
joke,1
how,5
much,5
forty,2
five,5
total,1
was,13
only,2
supposed,1
base,1
price,1
tolls,1
tax,1
tip,1
adds,1
unsnaps,1
wallet,1
grudgingly,1
hands,4
disreputable,1
twenties,2
takes,3
money,1
starts,6
halfway,1
turns,11
calls,3
who,6
frozen,1
dilapidated,1
hey,5
lady,5
hold,1
like,18
hugs,1
an,15
imaginary,2
close,2
apes,1
advice,1
seriousness,1
nodding,1
approval,2
good,3
luck,1
peels,1
high,3
wide,3
standing,8
forlornly,1
dayton,1
shopping,2
hand,9
strapped,1
other,9
title,1
superimposed,2
pulling,2
apprehensively,2
squatters,1
motley,1
group,1
homeless,1
teenagers,1
pierced,1
tattooed,2
wild,1
hairdos,1
even,3
wilder,1
attire,1
squatter,3
help,1
us,3
change,2
today,3
shocked,1
their,31
circumstances,1
rolls,1
past,2
smiling,2
faintly,1
every,1
bit,3
helps,2
food,6
maybe,4
thanks,3
lot,3
anyway,1
continues,4
distracted,2
hasn,1
slept,1
week,1
bent,1
railing,1
second,1
story,4
fire,7
escape,1
balcony,1
throes,1
veritable,1
rage,3
forgot,2
your,12
fucking,3
plant,1
asshole,1
stares,3
more,4
than,1
ever,2
enraged,1
tirade,1
unseen,1
old,3
boyfriend,2
below,2
shit,2
wait,2
going,11
why,3
don,20
huh,5
now,7
intrepid,1
midwesterner,1
pushes,2
strangely,1
surreally,2
blowing,1
huge,2
clouds,1
cigarette,4
smoke,2
gay,1
couple,4
parade,1
laughing,2
hysterically,1
pack,1
unmufflered,1
chrome,2
coruscating,1
harleys,10
round,1
ear,1
shattering,2
approach,2
stops,2
dead,1
tracks,2
heartstopping,1
terror,3
across,20
bikers,8
wearing,4
club,4
colors,2
embroidered,2
leather,3
vests,1
motorcycles,9
uniform,1
row,1
kill,2
engines,4
park,3
kickstands,1
dismount,1
they,30
biker,6
known,1
disciple,64
prospect,37
red,5
bandana,2
tied,2
taut,1
disappear,2
windowless,1
clubhouse,24
passing,1
large,1
forbidding,3
black,6
skeleton,1
death,2
riding,2
motorcycle,5
painted,1
tosses,3
butt,1
rusted,1
steel,3
drum,8
flames,4
erupt,1
horror,1
cannot,1
pry,1
eyes,3
upstairs,1
six,1
brick,2
co,26
op,26
building,10
paula,84
pretty,1
short,1
dark,5
hair,1
leaning,1
waving,2
mom,5
hi,2
ll,4
front,7
security,3
emerges,3
greet,1
glances,6
last,1
exchanges,1
oblique,1
parked,3
stool,2
next,6
burning,4
home,4
twilight,2
nice,5
bedroom,1
tastefully,1
furnished,1
unpacking,1
things,4
apartment,1
feeling,2
relaxed,1
if,15
shaken,1
since,2
arrived,2
once,3
re,15
inside,6
live,1
walks,4
peers,1
when,11
walked,1
word,2
rundown,1
safe,3
used,1
returns,3
gaze,4
stand,2
arms,6
crisscrossed,1
vested,1
chests,2
framing,1
sidewalk,2
guarding,2
phalanx,1
night,22
dining,3
table,7
studying,1
those,6
plastic,2
laminated,2
maps,1
buy,1
everywhere,1
attempting,1
acquaint,1
complex,1
public,1
transportation,1
system,1
bus,2
crosstown,1
metropolitan,1
museum,1
art,1
miss,1
removes,4
glasses,2
fixes,1
ask,2
doing,2
headquarters,5
alarmed,1
gang,1
deal,3
drugs,3
rape,1
young,4
girls,1
ve,5
never,3
had,8
any,2
problem,4
people,3
say,3
safest,1
lays,3
reassuring,3
arm,10
hope,2
keep,3
crane,2
lying,3
awake,3
convertible,2
sofa,3
hear,2
voices,4
revving,2
police,1
sirens,1
followed,2
sounds,2
gunfire,1
tires,1
screeching,1
cacophony,1
typical,1
summer,1
nights,1
flood,1
become,1
intelligible,1
random,1
did,4
shipment,1
heroin,1
raucous,1
laughter,4
erupts,2
montage,7
kenneth,1
anger,1
scorpio,1
rising,1
booted,1
foot,2
kick,4
harley,5
gleaming,1
exhaust,1
pipe,1
vibrates,1
spits,1
gloved,1
revs,1
handle,1
bar,4
accelerator,1
helmet,2
pulled,2
hun,1
roar,2
though,2
signpost,1
hell,2
bare,1
chested,1
long,2
sweating,1
swings,1
baseball,1
bat,1
singsong,2
voice,8
another,8
half,2
naked,2
open,6
scattering,1
belongings,1
finds,1
deceased,2
pavement,1
raises,3
slowly,4
sneer,1
nightgown,2
covering,1
mouth,3
utter,1
lit,2
tableaux,1
nightmare,1
stomping,1
heel,1
boot,1
glass,3
drops,2
roaring,1
conflagration,1
oil,3
dawdling,1
guffaw,1
loudly,2
slam,2
wakes,2
start,6
consciousness,2
sigh,1
relief,1
establishing,2
shot,5
splashed,1
sunlight,1
bright,1
quiet,5
dusting,3
bookshelves,1
humming,1
herself,6
behind,3
shelf,1
books,2
discovers,1
envelope,1
snapshots,2
curious,2
flipping,1
chronicle,1
recent,1
vacation,1
caribbean,1
island,2
amused,1
until,2
comes,9
showing,1
bathing,1
suit,1
top,3
raised,1
giddily,1
air,4
gasps,1
blushes,2
quickly,5
replaces,1
pictures,5
peering,1
furling,1
curtains,1
girlfriends,1
swagger,1
helmets,3
mount,1
bikes,4
life,2
draws,1
streetwise,1
map,1
puts,3
debating,1
whether,1
tackle,1
streets,1
or,3
determined,2
pulls,1
shoulder,1
grips,2
instructed,1
moves,1
steps,5
warily,1
hallway,5
freezes,2
hears,2
thundering,1
footsteps,1
cowers,1
faded,2
cowboy,1
boots,1
vest,1
torso,1
charging,1
stairs,4
frothing,1
pent,1
bulldog,1
leash,1
retreats,2
unit,2
locks,2
hanging,1
coat,1
setting,1
briefcase,1
incredulous,1
expression,4
chair,1
leafing,1
magazine,1
mildly,3
rebuking,1
didn,5
leave,4
house,1
shrugs,2
dusk,1
skyscrapers,1
twilit,1
restaurant,1
each,2
white,2
wine,4
photos,2
brought,1
strawberries,1
made,2
best,1
jam,1
crops,1
were,11
unbelievable,1
year,3
browse,1
snaps,1
plenty,1
rain,1
dad,2
been,5
happy,2
pill,3
vial,3
rummaged,1
slips,1
discreetly,1
seem,1
focus,1
anything,5
these,1
days,2
turning,2
washing,2
sweetheart,2
dating,1
anyone,2
working,2
too,2
fellow,1
both,2
whoops,1
blushing,1
plain,1
reluctantly,1
explaining,2
seeing,1
aaron,2
complications,1
seemed,1
quite,1
taken,3
talk,4
hurt,2
tell,4
true,2
placating,1
besides,1
walk,3
slows,1
crawl,1
casing,1
won,1
him,9
avert,1
deafening,1
dolly,1
line,3
idling,2
succession,1
switching,1
beam,1
headlights,1
pan,1
faces,3
mounted,1
cycles,1
jackets,1
elaborate,1
stitching,1
insignia,2
cigarettes,1
dangling,1
hirsute,1
mouths,1
baleful,2
countenances,1
tauntingly,1
appearing,1
apparition,1
beseeching,1
excuse,2
could,4
please,3
turn,2
loud,3
sleep,2
slow,2
motion,2
ten,3
number,4
frail,1
gently,3
pick,2
ground,1
raise,1
aloft,1
moving,1
human,1
bier,1
carry,1
follow,1
corridor,3
bowels,1
dream,3
explosion,1
light,4
near,1
ghostly,1
figure,1
realize,1
gun,1
clutching,1
breast,1
kitchen,4
shakes,3
valium,3
swallows,1
drink,1
orange,1
juice,1
wanting,1
disappointment,1
damn,1
fears,1
gathers,2
again,1
prevented,1
easy,3
exit,1
hip,1
bounding,1
let,3
pass,1
completely,2
ignore,1
exist,1
seen,1
perspective,1
relieved,1
hurries,1
direction,2
sights,1
city,4
giddy,1
almost,4
dreamlike,1
touring,1
famous,1
landmarks,1
stationery,1
diorama,1
rotating,1
empire,1
state,2
circle,2
cruise,2
eating,1
dog,1
vendor,1
macy,1
beams,2
magically,1
whisked,1
walking,2
spring,2
step,2
broad,1
emblazoning,1
sanguine,1
mood,2
shattered,1
shouting,1
roughing,1
teenage,1
kid,5
wrestling,1
submission,1
chilling,2
understand,1
rummages,1
anxiously,2
find,1
keys,4
tensed,1
continue,1
roughhouse,1
brandishes,1
under,3
nose,2
ain,1
need,4
warm,3
times,2
listen,1
learn,1
escalating,1
violence,1
punches,1
buttons,1
intercom,1
crackles,1
hello,5
lives,5
lost,3
answer,3
frightened,1
altercation,1
emerge,1
squirts,1
lighter,1
fluid,1
explode,1
dragged,1
drags,1
dangerously,1
roast,2
screaming,1
petrified,1
d,5
stepped,1
enactment,1
passage,2
revelations,1
briskly,1
pay,2
phone,5
drug,1
dealing,1
teenager,1
set,1
free,1
flees,1
mortal,1
appropriate,1
coins,1
coin,1
slot,1
dials,1
memory,1
quavery,1
message,1
urgent,1
stranded,1
thank,4
hangs,1
quails,1
towering,1
staring,1
scowl,1
use,2
happened,2
lose,1
withdrawing,1
exits,1
enters,1
trails,1
after,1
entrance,2
uncertain,1
quailss,1
without,1
reaches,1
presses,1
buzzer,1
units,1
machine,1
repairman,1
buzzes,1
safely,1
absolutely,1
nonplussed,1
running,1
sees,4
floor,1
propped,1
reprovingly,2
chagrined,1
bathroom,4
lay,1
low,1
tomorrow,1
early,1
ferry,1
okay,4
living,4
room,10
backing,1
parking,1
filing,1
dispenses,1
remaining,1
pills,2
palm,1
three,3
stupefied,1
acknowledge,1
stare,1
transfixed,1
softer,1
does,4
sound,1
plan,1
distance,1
worried,4
featured,1
eyepiece,1
fish,1
eye,1
lens,1
attractive,1
distraught,1
puffing,1
swollen,1
crying,1
marika,22
work,1
saturday,1
seemingly,2
reassured,1
realizes,1
upset,1
feels,1
immediately,1
compassionate,1
wretched,1
cappuccino,1
lets,1
having,2
coffee,1
listening,2
sympathetically,1
tale,1
woe,1
bill,1
recognize,1
four,1
morning,1
called,2
answered,1
hung,1
movies,1
found,1
wife,2
girl,1
brooklyn,1
together,2
shaking,1
disgust,1
men,2
same,2
our,2
pastor,1
sioux,1
falls,1
caught,1
sister,1
brightening,1
really,2
such,2
big,1
scandal,1
poor,3
town,1
laughs,2
women,1
makes,2
laugh,1
harder,1
assuaged,1
own,3
grief,1
parallel,1
ought,1
organic,1
farmer,1
chuckling,2
smiles,3
warmly,1
mrs,1
very,3
growl,1
screen,1
interrupting,1
tete,2
rise,1
simultaneously,1
amble,1
wish,1
wouldn,3
reach,2
dismounting,1
shutting,1
removing,1
wonder,1
frighten,1
manly,1
double,1
throws,2
backward,1
glance,1
probably,1
none,1
wider,1
crosses,1
alone,2
aviator,1
shades,1
trademark,1
bravely,1
sir,1
poker,2
faced,1
helping,1
yesterday,2
welcome,1
tells,1
sunglasses,1
mock,2
told,1
concerned,1
worry,1
law,1
abiding,1
citizens,1
kicking,1
boy,2
crack,1
dealer,1
alphabet,1
allow,1
kind,2
accept,1
explanation,1
its,1
painting,1
stylized,1
gripping,1
lightning,1
bolts,1
handlebars,1
else,1
love,3
aback,2
holding,1
meeting,2
gentle,1
giant,1
flowing,1
wispy,1
beard,1
paunch,1
muttering,1
wondering,1
expectantly,1
awaiting,2
ingenuous,1
calling,1
watch,1
gloomy,1
rock,1
music,1
assails,1
make,2
main,3
lounging,1
book,1
less,1
traveled,1
reads,1
wall,1
journal,1
others,2
seated,1
card,1
playing,2
game,1
sprawled,1
couch,3
smoking,1
walls,1
festooned,2
posters,1
place,2
mess,1
innocuous,1
center,1
addresses,1
clan,1
guys,1
realizing,1
name,1
meekly,1
booming,1
chorus,2
yo,2
response,1
unexpected,1
appearance,1
swear,1
god,2
cute,1
cook,1
amiable,1
fills,1
fascinated,1
dungeon,1
dreamed,1
fantasized,1
isn,5
bad,1
kids,1
rooms,1
growing,1
shots,2
overflowing,1
ashtrays,2
crushed,1
beer,3
cans,1
fast,1
wrappers,2
balled,1
strewn,1
tables,1
brow,1
knitted,1
thoughtfully,1
schoolmarmish,1
cleaning,2
several,1
disapprobation,1
abbreviated,1
scenes,1
dissolving,1
supervising,1
thorough,1
bottom,1
sprays,1
blackened,1
oven,1
empties,1
yet,1
vacuums,1
while,3
wags,1
reproving,1
finger,1
contents,1
ashtray,1
continuing,1
jacket,1
emblazoned,1
pops,1
pours,1
pot,1
chili,2
stirring,1
stove,1
sit,1
patiently,1
tries,1
sip,2
approvingly,1
ladles,1
bowls,1
series,1
jump,1
cuts,1
huddled,1
hen,1
folded,1
creasing,1
sated,1
better,2
outstanding,1
considers,1
moment,1
thing,2
scolding,1
darn,1
getting,1
exchange,2
petulant,1
rolling,1
request,1
mollifying,1
break,1
narrow,1
isosceles,1
shaped,2
office,4
land,1
downtown,1
tow,1
knocks,1
palmer,7
avuncular,1
mid,2
forties,1
desk,2
mr,5
enter,1
boss,1
enthusiastically,1
glad,1
blurting,1
met,1
nervously,1
went,1
introduced,1
myself,1
nicest,1
disquieting,1
unusual,1
experience,1
wonderful,1
mild,1
shock,1
hearing,1
fantastical,1
anecdote,1
plate,2
piled,1
chicken,1
potatoes,1
broccoli,1
etched,1
quality,1
brings,1
friendly,1
shave,1
beards,1
nicer,1
clothes,1
utensils,1
gets,1
dig,1
touching,1
oblivious,1
feelings,1
prattles,1
subway,1
uptown,1
play,1
tonight,2
finally,1
notices,1
wrong,1
amusing,1
imagine,2
stung,1
nothing,1
fault,1
pushing,1
hard,1
sips,1
wonders,1
mind,1
buoyant,1
deflates,1
um,1
water,1
talking,1
daddy,2
remember,2
words,1
pierce,1
afraid,1
object,1
strange,1
summertime,1
noise,1
talks,1
condescendingly,1
child,1
bother,1
argue,1
fearing,1
might,1
compromise,1
cont,1
dying,1
put,1
stress,1
vivid,1
imagination,1
tighter,1
snapping,1
reality,1
tight,1
lipped,1
supine,1
snoring,1
peacefully,1
breathing,2
sentry,1
mounts,1
bike,1
fingers,1
lips,1
warning,1
sleeping,1
remembering,1
rule,1
nods,2
assent,1
slightly,1
neutral,1
dismounts,1
ill,1
cast,1
soft,1
ambient,1
lies,1
rouses,1
swims,1
leadenly,1
drowsy,1
dear,3
guy,1
saw,1
turned,1
real,1
jerk,1
pats,1
pricks,1
ears,1
unusually,1
mm,2
hmm,2
central,1
lovely,1
sun,1
drenched,1
shadows,1
dapple,1
promenade,1
ponds,1
consider,1
coming,1
staying,1
longer,1
career,1
everything,1
thinking,1
paris,2
father,1
bless,1
wasn,1
traveling,1
golden,1
finishing,1
packing,1
bearing,1
gift,2
accepts,1
dr,1
byrne,1
prescribing,1
feel,1
decisions,1
extends,1
embraces,1
run,1
remembered,1
call,1
limousine,1
service,1
backpack,1
bye,1
pensive,1
goodbye,1
blows,1
kiss,1
wave,1
breaks,1
motorcade,1
materializing,1
carrying,2
hauls,1
straps,1
rack,1
onto,1
places,1
decals,1
reptiles,1
affixes,1
chin,1
strap,1
form,1
gives,1
signal,1
forming,1
procession,2
comfortable,1
escort,1
fever,1
manifest,1
heads,1
credits,1
