text,count
ten,2
things,5
i,409
hate,18
about,41
you,476
written,1
by,48
karen,1
mccullah,1
lutz,1
kirsten,1
smith,1
based,1
on,126
taming,2
of,210
the,688
shrew,3
william,10
shakespeare,9
revision,1
november,1
padua,6
high,15
school,30
day,72
welcome,2
to,444
your,69
typical,1
urban,1
suburban,3
in,202
portland,1
oregon,1
smarties,1
skids,1
preppies,1
granolas,1
loners,1
lovers,1
and,385
out,112
crowd,12
rub,1
sleep,6
their,28
eyes,15
head,25
for,95
main,1
building,2
parking,7
lot,11
kat,427
stratford,22
eighteen,2
pretty,8
but,65
trying,5
hard,3
not,77
be,47
a,479
baggy,1
granny,1
dress,11
glasses,7
balances,1
cup,3
coffee,10
backpack,2
as,111
she,197
climbs,2
her,297
battered,2
baby,2
blue,3
dodge,1
dart,2
stray,3
skateboard,3
clips,1
causing,1
stumble,1
spill,1
well,19
contents,1
young,1
rider,2
dashes,1
over,34
help,4
trembling,2
when,35
he,221
sees,10
who,58
his,114
board,2
has,21
hit,4
hey,20
sorry,5
cowering,1
fear,3
attempts,4
scoop,1
up,113
scattered,1
belongings,1
leave,11
it,179
persists,1
continuing,95
said,6
grabs,16
uses,4
shove,1
him,94
against,7
car,23
tip,1
throat,4
whimpers,1
pitifully,1
lets,8
go,62
path,2
clears,3
marches,3
through,17
pack,1
fearful,1
students,7
slams,8
open,11
door,43
entering,2
int,69
girls,14
room,35
bianca,274
beautiful,8
sophomore,6
stands,23
facing,2
mirror,4
applying,1
lipstick,1
less,2
extraordinary,1
still,14
cute,3
friend,7
chastity,40
next,26
did,17
change,3
hair,18
no,53
might,7
wanna,7
think,39
enter,5
hallway,19
continuous,3
is,109
immediately,1
greeted,2
an,42
admiring,1
both,7
boys,7
alike,1
boy,12
adoring,1
girl,22
awesome,1
shoes,2
greetings,1
continue,4
remains,3
wordless,1
unaddressed,1
side,12
smiles,23
proudly,4
acknowledging,1
fans,2
guidance,4
counselor,4
s,294
office,10
cameron,206
james,1
