text,count
the,59
things,3
my,5
father,6
never,1
taught,3
me,6
written,1
by,4
burleigh,1
smith,1
django,1
reinhardt,1
s,20
tea,1
for,12
two,3
fade,2
in,25
int,4
living,1
room,2
night,2
albert,1
a,45
middle,1
aged,1
man,2
feeds,1
melvin,60
year,1
old,1
adult,2
v,2
o,2
i,19
loved,1
and,49
he,12
many,1
useful,1
but,6
didn,2
t,7
teach,2
anything,2
at,13
all,6
about,11
women,3
there,8
was,3
time,3
when,4
resented,1
that,9
then,7
one,5
day,13
it,17
occurred,1
to,55
perhaps,1
know,5
much,2
fairer,1
sex,1
on,16
other,5
side,2
of,18
corinne,1
vulgar,1
morbidly,1
obese,1
woman,1
sits,4
couch,1
devours,1
large,2
packet,1
potato,1
chips,1
look,4
mother,2
had,1
conclusive,1
proof,1
she,11
burps,1
loudly,1
gives,3
smile,1
satisfaction,1
ext,8
east,1
perth,1
streets,1
present,1
now,6
thirty,1
walks,2
along,1
with,14
mike,34
three,4
both,1
are,6
bespectacled,2
here,1
what,9
m,6
going,6
do,4
son,3
ll,4
give,3
you,38
straight,1
not,6
fill,1
your,4
head,4
stories,1
fictitious,1
characters,1
like,9
santa,1
claus,1
or,4
easter,1
bunny,1
god,1
only,2
thing,3
need,2
worry,2
this,2
life,2
everything,2
art,1
meeting,2
courting,1
seducing,1
em,1
don,4
else,1
nothing,1
more,4
important,1
reading,2
writing,1
toilet,1
training,1
can,4
learn,2
later,4
department,1
store,1
wearing,1
cute,1
denim,1
overalls,1
teddy,1
bear,1
embroidered,1
front,3
stands,2
footstool,1
tailor,2
clothes,3
maketh,1
unmaketh,1
were,3
thinking,2
put,1
morning,1
spend,2
sandpit,2
responds,1
innocence,1
confusion,1
we,9
take,1
best,1
ve,3
got,2
finer,1
threads,1
inclined,1
ladies,1
will,1
be,8
tear,1
them,3
off,1
try,2
make,2
sense,1
their,3
logic,1
they,7
have,5
none,1
cafe,3
table,3
who,4
is,10
dressed,3
smart,1
casual,1
attire,1
looks,4
his,21
course,1
way,1
carry,1
yourself,2
too,5
gotta,1
conscious,1
effort,1
relaxed,1
control,1
situations,1
little,1
playful,1
go,3
an,3
expression,1
where,1
re,9
suppressing,1
mild,1
amusement,1
overdo,1
want,3
dignified,1
times,1
glances,1
over,7
picking,1
nose,1
damnit,1
listening,1
word,2
say,1
freezes,1
unsure,1
finger,2
still,2
planted,1
nostril,1
yanks,1
out,5
preschool,2
approach,1
entrance,1
right,5
person,2
really,1
spending,1
enough,3
places,1
so,2
new,1
today,1
higher,1
socioeconomic,1
suburb,1
playground,4
sit,3
bench,2
watch,3
children,2
play,2
