text,count
toy,57
story,4
original,1
by,35
john,1
lasseter,1
pete,1
docter,1
andrew,2
stanton,2
joe,2
ranft,1
screenplay,1
joss,1
whedon,1
joel,1
cohen,1
and,458
alec,1
sokolow,1
final,2
draft,1
november,1
fade,2
in,215
int,71
andy,213
s,563
bedroom,46
a,448
row,1
of,380
moving,31
boxes,13
lie,1
on,201
the,1425
floor,33
room,73
they,51
are,87
drawn,2
up,173
crayon,3
to,486
look,47
like,36
miniature,2
western,2
town,3
is,211
lined,1
with,129
cloud,1
wallpaper,1
giving,5
impression,1
sky,7
one,57
has,27
children,11
illustrated,1
wanted,5
poster,2
mr,71
potato,109
head,140
taped,4
it,219
doll,27
set,9
front,39
voice,36
over,83
year,5
old,7
boy,13
can,74
be,48
heard,7
acting,1
out,160
all,84
voices,1
scene,5
as,101
alright,18
everyone,15
this,56
stick,2
don,45
t,112
anybody,1
move,18
now,48
empty,5
that,108
safe,1
group,3
toys,141
have,39
been,18
crowded,1
together,4
bank,3
box,58
hand,29
lowers,2
ceramic,1
piggy,2
shakes,9
pile,13
coins,2
kisses,2
ooh,1
money,3
kissing,2
noises,1
porcelain,3
figurine,3
shepherdess,1
bo,41
peep,34
brought,3
into,91
stop,17
you,288
mean,12
quiet,8
or,7
your,36
sheep,6
get,57
run,10
companion,1
placed,4
center,7
hot,4
wheels,4
track,2
loop,2
heeeeelp,1
baaaaa,1
heeeelp,1
us,15
oh,84
no,112
not,46
my,47
somebody,3
do,35
something,9
woody,789
pull,9
string,8
cowboy,14
enters,4
opposite,5
inanimate,4
spud,1
pulls,23
ring,2
back,122
reach,6
for,92
sheriff,13
i,227
m,52
here,49
eyed,3
bart,2
eyes,26
doooooh,1
how,16
d,10
know,21
was,27
me,54
gonna,10
come,47
quietly,3
touch,3
attack,2
dog,19
built,1
force,3
field,3
places,10
slinky,80
mid,2
section,2
stretches,1
him,86
well,25
dinosaur,8
who,26
eats,1
dogs,1
reveals,2
plastic,8
tyrannosaurus,1
rex,81
stomps,1
aaaar,1
roar,6
yipe,4
re,68
goin,1
jail,4
picks,15
baby,17
crib,4
cardboard,3
sign,9
bars,1
word,7
written,5
say,12
good,18
bye,5
wife,1
tatertots,1
sister,3
molly,13
crawls,4
she,11
sucks,1
beat,12
then,46
proceeds,2
pound,1
repeatedly,2
against,11
rail,1
her,25
forcing,4
some,11
his,220
parts,5
loose,3
wearing,4
hat,18
himself,27
off,60
pulling,10
saved,3
day,4
again,14
favorite,4
deputy,1
begin,7
titles,2
song,6
ve,30
got,29
friend,6
plays,4
while,24
does,9
various,4
activities,1
turns,39
around,49
reveal,7
cows,1
other,29
side,22
he,163
grabs,26
jump,9
rope,4
pretends,2
lassoing,1
cattle,2
c,16
mon,15
let,30
wrangle,1
rides,1
an,28
rc,45
remote,14
control,6
car,53
herds,1
remaining,2
cow,1
under,34
stairwell,5
top,16
banister,3
allowing,4
slide,2
downstairs,14
races,5
ahead,4
catches,7
at,91
bottom,6
living,11
fall,2
la,3
z,3
chair,2
spin,2
next,19
uses,1
foot,11
rest,9
catapult,2
flings,3
across,28
sofa,2
raising,1
arms,4
score,1
ends,4
lies,3
limp,6
talking,5
mother,6
o,128
wow,6
cool,7
mrs,46
davis,42
whadda,3
ya,17
think,17
looks,47
great,12
mom,29
angle,42
adjoining,1
dining,1
thirty,1
eight,2
just,72
finished,2
decorating,1
area,6
streamers,1
balloons,1
banner,1
draped,1
archway,1
reads,4
happy,5
birthday,9
frozen,2
face,23
stares,2
direction,14
decorations,1
we,85
leave,7
til,2
sure,15
yeah,22
go,34
friends,6
going,14
any,5
minute,9
okay,23
from,114
couch,1
runs,29
upstairs,13
party,9
time,23
continuous,40
enter,5
still,22
banging,1
railing,6
tips,3
howdy,6
little,14
lady,1
deposits,1
bed,47
last,10
poisoned,2
waterhole,1
picking,2
getting,9
heavy,4
see,53
later,10
exits,5
end,20
life,7
sits,13
expression,2
changing,2
smile,2
worry,3
today,6
thinks,3
everybody,7
coast,5
clear,12
comes,8
alive,6
emerge,4
closet,9
shelves,1
etc,1
flurry,1
activity,2
body,2
strewn,2
upright,1
begins,27
assemble,1
ages,2
three,6
supposed,2
babysitting,1
princess,1
drool,1
hamm,46
flips,4
penny,1
coin,1
slot,6
walks,22
facial,2
pieces,4
wrong,5
slots,1
hey,56
picasso,1
away,38
uncultured,1
swine,1
someone,2
what,84
looking,13
hockey,2
puck,2
past,10
revealing,6
edge,14
observing,1
green,7
army,13
man,14
sargent,42
standing,4
night,11
stand,8
uh,22
sarge,1
seen,12
saluting,1
sir,4
thank,12
ease,1
hops,4
right,44
appears,10
pushing,3
checker,1
board,5
place,11
checkers,2
red,11
slink,8
if,17
want,14
bad,2
news,2
sh,3
h,26
covers,5
mouth,8
aware,1
watching,2
leans,3
close,8
whispering,6
gather,3
staff,4
meeting,6
shuffles,1
perks,3
gait,1
laughs,4
hard,10
passes,11
robot,12
snake,9
partially,1
hidden,4
bedspread,2
aside,8
podium,6
duty,1
reluctantly,1
follow,4
etch,10
sketch,5
draw,2
both,10
whip,1
gunfighters,1
before,18
fully,1
extend,1
arm,35
etches,1
gun,1
its,13
screen,7
pretending,3
shot,2
working,3
fastest,1
knobs,1
west,1
guys,22
constructing,1
made,7
legos,1
tinker,1
tub,1
searches,2
where,35
aw,2
moved,2
doodle,2
pad,4
way,31
spots,7
desk,20
reaches,7
down,94
pick,4
jumps,14
scare,1
rooaaaarr,1
unaffected,1
doin,1
suddenly,28
timid,1
were,7
scared,3
tell,12
honestly,1
being,8
heads,9
follows,5
fearsome,1
but,43
feel,1
coming,9
annoying,1
crook,4
neck,5
jerks,1
towards,29
choking,1
aach,1
hi,6
saving,1
flock,1
blushing,1
nothing,9
else,2
watch,8
tonight,1
very,6
flustered,1
heh,16
saunters,1
lamp,2
passing,1
stack,2
abc,3
blocks,4
remember,1
couple,3
left,13
lovestruck,2
filing,1
smaller,2
remains,4
middle,4
snaps,3
trance,1
rushes,4
crowd,9
steps,11
mike,5
tape,7
recorder,1
waddles,2
indicates,1
microphone,2
ahem,1
grabbing,3
thanks,5
sfx,27
feedback,2
whoa,15
step,4
hello,3
check,2
better,8
hear,5
shelf,2
first,9
item,1
picked,3
buddy,6
moan,2
serious,2
didn,3
already,3
waving,1
socket,2
hold,14
hands,10
laugh,3
snicker,1
big,15
joke,1
only,9
week,2
behind,26
checking,2
yes,13
tuesday,1
corrosion,1
awareness,1
success,1
spell,6
putting,1
words,5
welcome,6
scroll,1
display,2
speaks,3
ok,5
minor,1
note,1
breath,4
full,5
panic,8
there,59
losing,1
marbles,1
obviously,1
worried,5
shouldn,2
course,4
ain,4
since,1
kindergarten,1
says,2
darnit,1
enough,8
never,5
steered,1
takes,7
mimes,1
own,3
butt,1
every,5
christmas,13
through,38
gets,3
another,15
take,12
kind,4
rejection,1
listen,7
replaced,4
about,21
continued,28
doesn,7
matter,2
much,7
played,1
matters,1
when,20
needs,3
sheepish,1
pardon,1
hate,1
break,4
guests,3
clock,3
stay,5
calm,3
too,12
late,3
stampede,1
window,55
leaving,5
alone,5
adjourned,1
trying,5
peek,5
outside,5
will,16
those,4
presents,8
thing,7
unable,3
holds,3
them,21
pov,5
yard,11
file,2
door,51
carrying,7
yessir,1
month,1
garage,1
sale,2
fodder,1
panicked,1
shaped,1
ones,1
ah,12
crying,1
loud,15
idiot,5
keep,5
bigger,1
wait,22
nice,7
kid,11
present,12
four,2
feet,8
long,6
scream,5
trashcan,3
doomed,1
smacks,5
forehead,6
surrender,1
turn,8
inside,11
send,2
troops,1
promise,1
save,4
batteries,4
eh,2
using,5
noodle,1
onto,28
nightstand,4
establish,1
recon,2
post,1
code,4
bucket,5
soldiers,4
men,15
repeat,4
plan,2
charlie,1
execute,2
march,4
formation,2
hallway,26
creaks,1
open,35
lone,1
ventures,1
forth,2
make,10
satisfied,1
motions,6
others,4
proceed,2
squads,1
hall,4
monitor,32
each,5
leapfrog,1
stairway,1
banisters,1
their,27
positions,4
surveys,1
below,7
binoculars,6
binocular,9
view,20
directly,3
rounding,1
kids,8
almost,5
once,7
sight,11
silent,1
signal,4
two,22
paratroopers,2
parachuting,1
sweep,2
rifles,1
give,13
lowered,2
more,10
rappel,1
race,1
receiving,2
half,5
turning,1
find,11
footsteps,4
approaching,5
connecting,1
kitchen,4
immediately,3
signals,1
freeze,4
classic,1
action,9
poses,2
hungry,2
chips,1
ranch,1
barbeque,1
opens,11
soldier,11
owww,1
world,3
thought,6
told,2
these,5
brushes,1
path,3
continues,5
taking,5
so,17
professionals,1
best,3
lying,7
job,2
soon,4
gone,14
toward,5
nearby,4
houseplant,3
notices,5
injured,2
struggling,1
drag,1
forward,11
casualty,1
helps,2
wounded,3
moans,1
without,3
leaves,3
above,7
lower,2
themselves,2
via,1
riding,2
hustle,1
ball,9
bounces,2
followed,2
sound,7
clamor,1
supporting,1
plant,7
heels,2
squad,1
conceal,1
house,35
medic,1
evaluates,1
gives,5
thumb,1
scans,4
brightly,1
wrapped,1
gifts,1
atop,6
coffee,1
table,6
perk,1
static,7
emits,4
bird,5
alpha,1
bravo,1
opening,6
chanting,1
dream,1
bow,1
ripping,1
wrapping,1
paper,1
lunchbox,4
lunch,1
second,5
sheets,1
invited,1
match,11
dissolve,6
singular,1
boardgame,2
battleship,3
cheer,4
relief,3
congratulatory,1
pat,1
sending,6
features,2
flying,11
sorry,7
spudhead,1
mission,8
accomplished,1
done,3
pack,3
home,8
did,10
huh,11
knew,2
along,6
doubted,1
platoon,1
preparing,1
exit,3
oooh,1
lifts,6
large,4
indicating,1
tense,2
pulled,2
surprise,2
really,6
excited,8
huge,4
package,2
cheering,3
cutting,2
leg,2
making,5
drop,3
impact,5
causes,3
roll,4
lizard,2
ll,27
sarcastic,4
fallen,1
tries,7
correctly,1
insert,1
em,4
puttin,1
backwards,4
plus,1
positive,1
minus,3
negative,2
shoves,4
rush,10
alert,2
puts,3
battery,1
juvenile,1
intrusion,1
resume,2
hurry,2
scatter,2
ear,5
outta,4
frantic,2
slams,10
falls,12
scurries,1
grow,1
louder,1
spot,4
flies,5
flood,1
lasers,2
light,12
zurg,3
flung,1
pillow,2
slides,2
unnoticed,2
gap,2
between,6
wall,8
quick,5
space,23
spaceship,8
lands,5
press,1
karate,3
chop,4
games,5
prizes,2
fast,5
entered,1
slamming,3
slowly,6
heck,1
shocked,1
discover,3
doing,10
composing,1
cake,1
ice,1
cream,1
suppose,1
mistake,6
sitting,7
gasp,11
earlier,3
doubt,1
polite,1
whatever,2
climbs,7
peeking,4
widen,1
buzz,576
lightyear,34
expensive,1
age,1
figure,7
covered,1
buttons,2
stickers,1
toe,1
imposing,2
g,4
sized,1
stands,9
heroically,1
gulps,3
helmet,13
darth,1
vader,1
breathing,1
suspiciously,1
pushes,5
button,14
chest,8
electronic,2
beep,2
star,12
command,11
read,4
why,10
answer,1
ripped,2
packaging,1
designed,1
ship,12
investigates,1
damage,1
blast,1
weeks,1
repair,5
compartment,1
wrist,14
communicator,14
log,3
stardate,1
en,1
route,1
sector,4
crash,2
landed,2
strange,3
planet,18
must,8
awoken,1
hyper,2
sleep,2
springs,1
squishy,1
surface,3
terrain,1
seems,2
bit,3
unstable,1
taps,1
sticker,2
controls,1
yet,1
air,9
breathable,1
intelligent,1
anywhere,1
